rank,prev_rank,name,league,off,def,spi
444,444,IF Elfsborg,Swedish Allsvenskan,1.03,1.79,29.51
445,445,Auxerre,French Ligue 2,0.77,1.42,29.4
446,446,VfL Bochum,German 2. Bundesliga,1.06,1.84,29.24
447,447,Odd BK,Norwegian Tippeligaen,1.02,1.79,29.15
448,448,Motherwell,Scottish Premiership,0.92,1.64,29.13
449,449,Lyngby,Danish SAS-Ligaen,0.93,1.67,29.09
450,450,Fortuna Sittard,Dutch Eredivisie,1.08,1.88,29.05
451,451,Stabaek,Norwegian Tippeligaen,0.94,1.68,29
452,452,Esbjerg,Danish SAS-Ligaen,0.9,1.63,29
453,453,Fuenlabrada,Spanish Segunda Division,0.77,1.45,28.85
454,454,Deportivo La Coruña,Spanish Segunda Division,0.79,1.49,28.72
455,455,Erzgebirge Aue,German 2. Bundesliga,0.91,1.66,28.53
456,456,Hobro IK,Danish SAS-Ligaen,0.82,1.54,28.49
457,457,Urawa Red Diamonds,Japanese J League,0.96,1.74,28.44
458,458,Bidvest Wits,South African ABSA Premier League,0.74,1.44,28.42
459,459,Kristiansund BK,Norwegian Tippeligaen,1,1.82,28.27
460,460,AS Nancy Lorraine,French Ligue 2,0.73,1.42,28.24
461,461,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.08,1.93,28.17
462,462,Nagoya Grampus Eight,Japanese J League,1.01,1.84,28.06
463,463,Silkeborg,Danish SAS-Ligaen,1.06,1.92,27.95
464,464,Indy Eleven,United Soccer League,0.95,1.76,27.92
465,465,Karlsruher SC,German 2. Bundesliga,1.03,1.88,27.88
466,466,Racing Santander,Spanish Segunda Division,0.8,1.55,27.85
467,467,Tampa Bay Rowdies,United Soccer League,0.96,1.79,27.74
468,468,Miami FC,United Soccer League,1.06,1.93,27.69
469,469,Lamia,Greek Super League,0.63,1.3,27.64
470,470,SV Wehen Wiesbaden,German 2. Bundesliga,0.95,1.79,27.57
471,471,Chievo Verona,Italy Serie B,0.76,1.51,27.56
472,472,RKC,Dutch Eredivisie,1.08,1.96,27.54
473,473,Western Sydney FC,Australian A-League,1.09,1.99,27.53
474,474,Nashville SC,Major League Soccer,0.86,1.65,27.53
475,475,Doncaster Rovers,English League One,0.84,1.65,27.3
476,476,San Antonio FC,United Soccer League,1.1,2.02,27.27
